cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3162500,2,3,1490640,179432,1,47,2,1,1,1,2,1,3,,,,4,4,1,1,,1,1,600,1,12,7200,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1520964,180751,1,76,2,1,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,880,0,0,0,550130664359233,563253885846914
3162500,2,3,2334371,185502,2,5,3,4,1,1,2,2,1,1,5,2,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334268,187537,2,22,3,1,1,1,1,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332875,197069,1,22,1,1,1,1,2,1,1,1,13,,,,,2,2,,,0,2,,,150,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333688,197674,1,19,1,4,1,2,2,1,3,,,,8,3,1,1,,2,1,400,1,6,2400,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333364,198914,1,20,3,4,1,1,2,1,3,,,,6,9,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1472804,199494,1,8,3,4,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2332876,202034,1,5,3,1,1,1,2,1,2,1,3,,,,,,,,,,,,,,0,,200,,550130664359233,563253885846914
3162500,2,3,2333817,206272,1,32,2,1,2,2,2,1,3,,,,5,6,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1536595,212988,2,63,1,4,1,2,2,2,4,,,,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333922,215618,1,16,3,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1487456,220084,1,10,3,4,1,1,1,1,1,1,5,5,,,,,,,,,,,,,0,,260,,550130664359233,563253885846914
3162500,2,3,2333661,221921,1,19,3,2,1,1,2,1,3,,,,8,1,2,1,,2,1,300,1,3,900,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1430416,224065,2,7,3,2,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,100,,550130664359233,563253885846914
3162500,2,3,1468814,228355,2,3,5,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333995,231454,2,38,1,4,1,2,2,1,3,,,,6,5,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333640,232469,2,63,1,1,1,2,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,937,0,0,0,550130664359233,563253885846914
3162500,2,3,1516734,238443,2,36,1,1,1,2,2,1,3,,,,4,2,2,1,,2,1,50,1,1,50,0,0,0,235,0,550130664359233,563253885846914
3162500,2,3,1349698,240533,2,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,300,,550130664359233,563253885846914
3162500,2,3,2333687,247883,1,26,1,4,1,1,2,1,3,,,,5,8,1,1,,2,1,400,1,12,4800,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332778,248688,1,4,3,4,1,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,280,,550130664359233,563253885846914
3162500,2,3,2333826,252145,2,14,3,1,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334009,252565,1,16,3,2,1,1,2,1,1,1,5,9,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332687,252891,1,21,3,2,1,2,2,1,3,,,,6,9,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1385123,256609,2,31,1,1,1,1,2,1,3,,,,8,4,1,1,,2,4,940,1,12,11280,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333540,256905,2,40,1,4,1,2,2,1,3,,,,8,2,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1407599,258189,2,36,1,4,1,1,2,1,3,,,,4,4,1,1,,2,4,468,1,12,5616,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332741,260945,2,43,1,1,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332988,266667,1,17,3,2,1,1,2,1,3,,,,6,7,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1536226,270197,2,52,1,1,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,937,0,0,0,550130664359233,563253885846914
3162500,2,3,2333583,271292,2,33,1,4,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,300,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1514544,273012,2,4,3,1,1,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1335349,275259,2,21,1,2,2,1,2,1,1,1,13,,,,,2,2,,,0,2,,,500,0,0,191,0,550130664359233,563253885846914
3162500,2,3,2332798,275456,1,17,3,1,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333096,276419,1,16,3,1,2,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1540804,278441,2,11,3,4,1,1,2,1,1,1,5,7,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334274,284503,2,18,1,2,2,2,2,1,1,1,13,,,,,2,2,,,0,2,,,0,0,0,0,496,550130664359233,563253885846914
3162500,2,3,2334146,286964,2,20,1,4,2,2,2,1,1,1,13,,,,,2,2,,,0,2,,,0,0,0,0,552,550130664359233,563253885846914
3162500,2,3,2333557,288035,2,59,1,1,2,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,550130664359233,563253885846914
3162500,2,3,1538272,288612,1,24,1,4,1,2,2,1,3,,,,8,3,1,1,,2,1,450,1,12,5400,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334333,289335,1,12,3,1,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2332836,289884,2,20,1,2,1,1,2,1,3,,,,5,8,1,1,,2,1,150,1,12,1800,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1459714,290495,1,2,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333655,291863,1,3,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1459821,293518,2,35,1,2,2,1,1,1,3,,,,5,5,2,1,,2,1,500,1,12,6000,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1331655,294005,1,18,3,1,1,1,2,1,3,,,,8,3,1,1,,2,8,468,1,7,3276,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333849,294565,2,40,1,4,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333569,301768,2,2,3,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1544716,302183,2,3,3,4,1,1,2,1,1,1,3,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334052,302690,2,10,3,4,1,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2332762,312171,2,20,1,1,1,1,2,1,3,,,,5,6,2,1,,2,1,200,1,12,2400,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333132,312285,2,39,1,4,1,1,1,1,3,,,,4,2,2,2,2,,,0,2,,,0,954,0,0,0,550130664359233,563253885846914
3162500,2,3,2334109,313156,2,12,3,1,1,1,2,1,1,1,5,9,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1482233,313734,1,9,3,4,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2332674,314347,2,68,1,2,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,788,0,0,0,550130664359233,563253885846914
3162500,2,3,1517153,315109,2,23,1,1,1,2,2,1,1,1,13,,,,,1,,2,1,400,1,12,4800,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334176,319950,2,58,1,1,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333172,321282,1,17,5,1,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333669,324236,1,44,2,1,1,1,2,1,3,,,,5,8,1,1,,2,3,300,1,12,6000,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334281,325719,2,52,6,1,1,2,2,1,3,,,,6,8,2,1,,2,3,900,1,12,10800,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334204,325956,1,0,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
